2025-01-09 18:31:50 | ID=5 | Status=0
2025-01-09 18:31:53 | ID=5 | Status=1
2025-01-10 15:36:17 | ID=7 | Status=0
2025-01-10 15:36:18 | ID=7 | Status=1
2025-01-10 15:36:20 | ID=1 | Status=1
2025-01-10 15:36:21 | ID=1 | Status=0
2025-01-10 15:36:22 | ID=2 | Status=0
2025-01-10 15:36:23 | ID=2 | Status=1
2025-01-10 15:36:23 | ID=8 | Status=0
2025-01-10 15:36:24 | ID=8 | Status=1
2025-01-10 15:36:25 | ID=5 | Status=1
2025-01-10 15:36:25 | ID=5 | Status=0
2025-01-10 15:36:31 | ID=7 | Status=0
2025-01-10 15:36:32 | ID=8 | Status=0
2025-01-10 15:36:32 | ID=2 | Status=0
2025-01-10 15:36:57 | ID=5 | Status=1
2025-01-10 15:36:57 | ID=7 | Status=1
2025-01-10 15:36:58 | ID=1 | Status=1
2025-01-10 15:36:58 | ID=2 | Status=1
2025-01-10 15:36:58 | ID=8 | Status=1
2025-01-11 16:32:10 | ID=1 | Status=1
2025-01-11 16:32:11 | ID=1 | Status=0
2025-01-11 16:32:18 | ID=7 | Status=0
2025-01-11 16:32:19 | ID=7 | Status=1
2025-01-11 16:34:03 | ID=7 | Status=0
2025-01-11 16:34:04 | ID=7 | Status=1
2025-01-11 16:35:23 | ID=1 | Status=1
2025-01-11 16:35:31 | ID=1 | Status=0
2025-01-11 16:35:36 | ID=1 | Status=1
2025-01-11 20:25:29 | ID=1 | Status=0
2025-01-17 01:41:26 | ID=9 | Status=1
2025-01-17 01:41:29 | ID=9 | Status=0
